iter	Logloss
0	0.6458857866
1	0.6022371768
2	0.5810872625
3	0.5631652598
4	0.5485694931
5	0.5353998535
6	0.515758489
7	0.5049212546
8	0.4954580242
9	0.4887218442
10	0.4798416101
11	0.4674765508
12	0.4575728871
13	0.4519238301
14	0.4486165182
15	0.4429092198
16	0.4397934921
17	0.4366693898
18	0.4333526309
19	0.4187410717
20	0.41148012
21	0.4069906873
22	0.4049518659
23	0.4031595966
24	0.3981484382
25	0.3946304477
26	0.3928654314
27	0.3918267015
28	0.387136653
29	0.3865555475
30	0.3838872577
31	0.3814774225
32	0.3782948139
33	0.3772181949
34	0.3745653625
35	0.371000185
36	0.3695780134
37	0.3681033232
38	0.3670237171
39	0.3662644285
40	0.3659666742
41	0.3648954454
42	0.3640768893
43	0.3628115992
44	0.3619735972
45	0.3602034698
46	0.3587177944
47	0.3547267313
48	0.3528782117
49	0.3524538854
50	0.3508851762
51	0.3497360894
52	0.3488131458
53	0.3481545992
54	0.3479607921
55	0.346669842
56	0.3464515811
57	0.3457678915
58	0.3452169532
59	0.3450243909
60	0.3439224068
61	0.3437668345
62	0.3435080517
63	0.3428370383
64	0.3418179322
65	0.3407508919
66	0.3401123619
67	0.3394658427
68	0.3390946279
69	0.3387282734
70	0.3383822893
71	0.3382468873
72	0.3380838675
73	0.3379093788
74	0.3373163908
75	0.3368119472
76	0.3363726806
77	0.3357324901
78	0.3354361081
79	0.3348350797
80	0.3344333878
81	0.3339781131
82	0.3338094257
83	0.3334478005
84	0.3332163854
85	0.3330161489
86	0.3327671322
87	0.3326268267
88	0.332322041
89	0.3322013597
90	0.3314716367
91	0.3312964927
92	0.3311400628
93	0.3309147225
94	0.3298200961
95	0.3292189598
96	0.3287963242
97	0.3281793037
98	0.3279811964
99	0.3278160157
100	0.3274436185
101	0.3273275737
102	0.3267690212
103	0.325807182
104	0.3256481213
105	0.3254841503
106	0.3253474777
107	0.325204893
108	0.3246178825
109	0.3241866467
110	0.324043657
111	0.3239214133
112	0.3231603506
113	0.3229899356
114	0.3221709454
115	0.3216851038
116	0.321423514
117	0.3209017173
118	0.3201441547
119	0.3197411369
120	0.319286703
121	0.3190631466
122	0.3188493475
123	0.3177092454
124	0.3174853702
125	0.3171253815
126	0.3165025215
127	0.3157866029
128	0.3147921506
129	0.3136902802
130	0.3135431315
131	0.3125833551
132	0.3124162077
133	0.3117960364
134	0.3110532485
135	0.3106032786
136	0.3103600542
137	0.3101133828
138	0.3096034548
139	0.3094427271
140	0.3090400023
141	0.3089153264
142	0.3085845022
143	0.3078677914
144	0.3076989178
145	0.3075135937
146	0.3073120057
147	0.3071556531
148	0.3070460572
149	0.3069104288
150	0.3067078887
151	0.3065384094
152	0.3061839338
153	0.3059769219
154	0.3058532941
155	0.3056197318
156	0.3055022266
157	0.3053297454
158	0.3050510744
159	0.3047865632
160	0.3046327089
161	0.3044498938
162	0.3042823678
163	0.3041633349
164	0.303644581
165	0.3034564178
166	0.3033192233
167	0.3031255505
168	0.302993817
169	0.3026622573
170	0.3025190359
171	0.3023653144
172	0.3022544611
173	0.3021217559
174	0.301832962
175	0.3017129173
176	0.3015197947
177	0.3013738531
178	0.3011838241
179	0.3010333683
180	0.3006624097
181	0.3005047827
182	0.3003317738
183	0.3001593057
184	0.3000456477
185	0.2999429209
186	0.2998292575
187	0.2997166114
188	0.2995877016
189	0.2993880374
190	0.2992362563
191	0.2990734019
192	0.2988997797
193	0.2986667076
194	0.2984818915
195	0.298303844
196	0.2981553638
197	0.2979569316
198	0.2978003895
199	0.2976217935
200	0.2974921072
201	0.297363875
202	0.2971990605
203	0.2970532149
204	0.2968800656
205	0.2967874794
206	0.2966382769
207	0.2963943551
208	0.2962649344
209	0.2961315641
210	0.2959795842
211	0.2958618467
212	0.2957260953
213	0.2956104623
214	0.2954896057
215	0.2953511398
216	0.295237517
217	0.2951260054
218	0.294990456
219	0.2948770274
220	0.2947625739
221	0.2946260517
222	0.2945344845
223	0.294417191
224	0.2943275053
225	0.2941978147
226	0.2940495711
227	0.2939508681
228	0.2937043276
229	0.293523786
230	0.2934317229
231	0.2933331887
232	0.2932186423
233	0.2928421398
234	0.2927236912
235	0.2926074655
236	0.2924648011
237	0.2923773272
238	0.2922306446
239	0.2920949676
240	0.291863509
241	0.2917388489
242	0.291601182
243	0.2914828091
244	0.2913408762
245	0.2912082253
246	0.2910880797
247	0.2909651574
248	0.2908591516
249	0.2907288531
250	0.2906392821
251	0.2905622962
252	0.2904140289
253	0.2902910828
254	0.2901233722
255	0.2899649369
256	0.2898646456
257	0.2896977306
258	0.2895711919
259	0.2894754784
260	0.2893448998
261	0.2892367233
262	0.2890990699
263	0.2888333229
264	0.2887186797
265	0.2885918923
266	0.2884602451
267	0.2883309159
268	0.2880973494
269	0.2879525856
270	0.2878829334
271	0.2877719741
272	0.2876740516
273	0.2875346525
274	0.2874154475
275	0.2871776917
276	0.2870535125
277	0.2869314285
278	0.2868010375
279	0.2866292015
280	0.2864929767
281	0.2863373542
282	0.2862344661
283	0.2859997564
284	0.2858988228
285	0.2858001755
286	0.285671207
287	0.2855279861
288	0.2854032437
289	0.2853099677
290	0.2851700338
291	0.2850443332
292	0.2849022415
293	0.2847632796
294	0.2846235733
295	0.2845258782
296	0.2844444106
297	0.2843231534
298	0.2842011429
299	0.2840836273
300	0.2839651376
301	0.2838844797
302	0.2836927521
303	0.2835237021
304	0.2834059877
305	0.2833198001
306	0.2831268908
307	0.2829816257
308	0.282847738
309	0.2827307181
310	0.2826249301
311	0.2825372865
312	0.2824214385
313	0.2823328029
314	0.282248818
315	0.282145192
316	0.2820045176
317	0.2818890918
318	0.2817633708
319	0.2816980159
320	0.2816047527
321	0.2814849709
322	0.2813734624
323	0.2812305499
324	0.2811250051
325	0.2810490899
326	0.2809501435
327	0.2808357734
328	0.2807439566
329	0.2806652507
330	0.2805354143
331	0.2803385509
332	0.2801816309
333	0.280072245
334	0.2799544175
335	0.2798494132
336	0.2797481853
337	0.2796669745
338	0.2795828036
339	0.2794800678
340	0.2793594825
341	0.279290719
342	0.2791947911
343	0.2790884168
344	0.2790012142
345	0.2788177687
346	0.2787080725
347	0.2786033736
348	0.2784882843
349	0.2783951247
350	0.2782383333
351	0.2780988826
352	0.2780102699
353	0.2779186454
354	0.2778111841
355	0.2777281319
356	0.2775872129
357	0.2774533848
358	0.2773410327
359	0.2772551008
360	0.2771619183
361	0.2770340187
362	0.2769089903
363	0.2767881905
364	0.2766751632
365	0.2765307213
366	0.2764743844
367	0.2763836334
368	0.2762840166
369	0.2761683132
370	0.2760660085
371	0.2759301438
372	0.2757952668
373	0.2756238456
374	0.2755078558
375	0.275420317
376	0.2752849768
377	0.2751556421
378	0.2750473017
379	0.2747756891
380	0.2746375349
381	0.2745669192
382	0.2744663755
383	0.2743775416
384	0.2742687545
385	0.274142996
386	0.2740581476
387	0.2739798936
388	0.273771479
389	0.2736564945
390	0.273552685
391	0.2734263353
392	0.2733096184
393	0.2731923403
394	0.2730776552
395	0.2729745188
396	0.2728894175
397	0.2727245108
398	0.2726005552
399	0.2724946338
400	0.2723902055
401	0.2723065618
402	0.2721995263
403	0.2721174328
404	0.2720293279
405	0.2718835569
406	0.2717589235
407	0.2716107725
408	0.2714965151
409	0.271379925
410	0.2712517952
411	0.2711603
412	0.2710478526
413	0.27093772
414	0.2708322608
415	0.2707406876
416	0.2706842087
417	0.2705728306
418	0.2704831377
