iter	Passed	Remaining
401	12914	3148
402	12942	3115
403	12996	3088
404	13117	3076
405	13136	3041
406	13157	3006
407	13176	2971
408	13195	2935
409	13214	2900
410	13233	2865
411	13251	2830
412	13271	2795
413	13295	2761
414	13321	2728
415	13444	2714
416	13490	2685
417	13515	2651
418	13559	2621
419	13612	2592
420	13642	2559
421	13659	2524
422	13675	2489
423	13690	2454
424	13705	2418
425	13721	2383
426	13737	2348
427	13753	2313
428	13768	2278
429	13783	2243
430	13799	2209
431	13816	2174
432	13837	2141
433	13857	2107
434	13882	2074
435	13903	2040
436	13924	2007
437	13948	1974
438	13970	1941
439	13986	1907
440	14003	1873
441	14019	1839
442	14035	1805
443	14053	1772
444	14069	1738
445	14085	1705
446	14101	1671
447	14118	1638
448	14134	1605
449	14152	1572
450	14169	1539
451	14184	1506
452	14201	1473
453	14218	1440
454	14234	1407
455	14251	1375
456	14268	1342
457	14285	1310
458	14302	1277
459	14317	1245
460	14335	1212
461	14351	1180
462	14366	1148
463	14384	1116
464	14400	1083
465	14416	1051
466	14431	1019
467	14449	987
468	14464	956
469	14487	924
470	14509	893
471	14533	862
472	14596	833
473	14615	801
474	14632	770
475	14647	738
476	14663	707
477	14679	675
478	14695	644
479	14712	613
480	14729	581
481	14747	550
482	14763	519
483	14783	488
484	14803	457
485	14823	427
486	14844	396
487	14875	365
488	14904	335
489	14932	304
490	14969	274
491	15021	244
492	15044	213
493	15067	183
494	15120	152
495	15159	122
496	15182	91
497	15222	61
498	15266	30
499	15300	0
